ticker,name_kr
ADBE,어도비
ADP,
AMD,AMD
ABNB,에어비앤비
ALNY,
GOOGL,알파벳(구글) A주
GOOG,알파벳(구글) C주
AMZN,아마존
AEP,
AMGN,암젠
ADI,아날로그디바이스
AAPL,애플
AMAT,어플라이드머티어리얼즈
APP,앱러빈
ARM,암홀딩스
ASML,ASML
ALAB,
ADSK,오토데스크
AXON,
BKR,베이커휴즈
BKNG,부킹홀딩스
AVGO,브로드컴
CDNS,케이던스디자인시스템즈
CTAS,신타스
CSCO,시스코
CCEP,
CMCSA,컴캐스트
CEG,
CPRT,
CRWV,
COST,코스트코
CRWD,크라우드스트라이크
CSX,
DDOG,데이터독
DXCM,덱스콤
FANG,다이아몬드백에너지
DASH,도어대시
EXC,
FAST,패스널
FER,
FTNT,포티넷
GEHC,GE헬스케어
GILD,길리어드사이언스
HON,허니웰테크놀로지스
HONA,허니웰에어로스페이스
IDXX,
INTC,인텔
INTU,인튜이트
ISRG,인튜이티브서지컬
KDP,큐리그닥터페퍼
KLAC,KLA코퍼레이션
LRCX,램리서치
LIN,린데
LITE,
MAR,메리어트인터내셔널
MRVL,마벨테크놀로지
MELI,메르카도리브레
META,메타플랫폼스
MCHP,
MU,마이크론테크놀로지
MSFT,마이크로소프트
MSTR,마이크로스트래티지
MDLZ,몬델리즈인터내셔널
MPWR,
MNST,몬스터베버리지
NBIS,
NFLX,넷플릭스
NVDA,엔비디아
NXPI,NXP반도체
ORLY,
ODFL,
PCAR,
PLTR,팔란티어테크놀로지스
PANW,팔로알토네트웍스
PAYX,
PYPL,페이팔
PDD,PDD홀딩스(핀둬둬)
PEP,펩시코
QCOM,퀄컴
REGN,리제네론파마슈티컬스
RKLB,로켓랩
ROP,
ROST,로스스토어스
SNDK,샌디스크
STX,시게이트테크놀로지
SHOP,쇼피파이
SPCX,스페이스X
SBUX,스타벅스
SNPS,시놉시스
TMUS,T모바일US
TTWO,테이크투인터랙티브
TER,
TSLA,테슬라
TXN,텍사스인스트루먼츠
TRI,톰슨로이터
VRTX,버텍스파마슈티컬스
WMT,월마트
WBD,워너브라더스디스커버리
WDC,웨스턴디지털
WDAY,워크데이
XEL,
